#Submissions
#Id, Title, Authors,E-mail,Primary,Secondary
1, "AI Planning Systems", Alice Brown, alice.brown@gmail.com, 1,
2, "AI Robotics Frameworks", John Smith, john.smith@gmail.com, 1,
3, "Database Optimization", Rui Fernandes, rfernandes@gmail.com, 2,
4, "Distributed Storage Systems", Carla Gomes, carla.gomes@gmail.com, 2,
5, "GPU Scheduling", Maria Costa, maria.costa@gmail.com, 3,
6, "Secure Databases", John Smith, john.smith@gmail.com, 3,
#Reviewers
#Id, Name, E-mail,Primary,Secondary
1, Jaqueline N. Chame, jchame@yahoo.com, 1,
2, Mary W. Hall, mhall@hotmail.edu, 1,
3, Daniel Carter, dcarter@gmail.com, 1,
4, Laura Chen, laura.chen@gmail.com, 2,
5, Victor Mendes, vmendes@gmail.com, 2,
6, Sandra Oliveira, sandra.oliveira@gmail.com, 2,
7, Robert Green, rgreen@gmail.com, 3, 5
8, Lisa Turner, lturner@gmail.com, 3, 2
#Parameters
MinReviewsPerSubmission, 2
MaxReviewsPerReviewer, 2
PrimaryReviewerExpertise, 1
SecondaryReviewerExpertise, 0
PrimarySubmissionDomain, 1
SecondarySubmissionDomain, 0
#Control
GenerateAssignments, 1
RiskAnalysis, 0
OutputFileName, "output_dataset8.csv"
